Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-01-03,Oppenheimer,2023,https://boxd.it/5ttEvd,3,,thought Nolan was washed. was right. ,,2024-01-02
2024-01-03,The Menu,2022,https://boxd.it/5ttFon,1.5,,mid movie trying to ride off of the queens gambit hype,,2024-01-02
2024-01-03,La La Land,2016,https://boxd.it/5ttGQR,2.5,,predictable AF,,2024-01-02
2024-01-03,Air,2023,https://boxd.it/5ttJW9,4,Yes,YEAH MONEY! YEAH SHOES! YEAH NBA! Affleck as Phil knight is hilarious ,,2024-01-02
2024-01-03,Barbie,2023,https://boxd.it/5ttMfH,3.5,Yes,kinda inadvertently sold the mojo dojo casa house too well,,2024-01-02
2024-01-03,The Killing of a Sacred Deer,2017,https://boxd.it/5ttZJl,4.5,,damn lowkey if this happened to me it would be pretty scary,,2024-01-02
2024-01-03,Vivarium,2019,https://boxd.it/5tu15H,4.5,,jessie Eisenberg play someone likable for once,,2024-01-02
2024-01-15,Saltburn,2023,https://boxd.it/5B9nAH,2,,tHiS iS sO dEeP,,2024-01-14
2024-01-28,Possession,1981,https://boxd.it/5Hld0x,3.5,,eeeeeeeeewwwwwww,,2024-01-26
