Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Lawton, OK",130291,30020,ND,ND,ND,ND,0.068,ND,8.1,18,ND
"Lebanon, PA",133568,30140,ND,ND,ND,ND,0.058,ND,7.5,21,ND
"Lewiston, ID-WA",60888,30300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Lewiston-Auburn, ME",107702,30340,ND,ND,ND,ND,0.059,26,4.5,13,ND
"Lexington-Fayette, KY",472099,30460,ND,ND,6,43,0.065,27,7.9,18,5
"Lima, OH",106331,30620,ND,ND,ND,ND,0.067,ND,7.1,17,4
"Lincoln, NE",302157,30700,ND,ND,ND,ND,0.055,ND,6,15,ND
"Little Rock-North Little Rock-Conway, AR",699757,30780,1,ND,7,40,0.064,34,9.6,30,6
"Logan, UT-ID",125442,30860,ND,ND,5,33,0.063,ND,7.7,30,ND
"London, KY",126369,30940,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Longview, TX",214369,30980,ND,ND,3,17,0.064,ND,IN,IN,77
"Longview, WA",102410,31020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Los Angeles-Long Beach-Anaheim, CA",12828837,31080,3,0.04,25,76,0.095,92,12.1,33,4
"Louisville/Jefferson County, KY-IN",1235708,31140,1,ND,14,48,0.072,61,9.8,22,12
"Lubbock, TX",290805,31180,ND,ND,ND,ND,ND,ND,5.6,22,ND
"Ludington, MI",28705,31220,ND,ND,ND,ND,0.066,ND,ND,ND,ND
"Lumberton, NC",134168,31300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Lynchburg, VA",252634,31340,ND,ND,ND,ND,ND,ND,5.7,12,ND
"Macon, GA",232293,31420,ND,ND,ND,ND,0.057,ND,8.8,20,3
"Madera, CA",150865,31460,ND,ND,6,28,0.078,131,10.4,32,ND
"Madison, WI",605435,31540,ND,ND,ND,ND,0.062,63,8.3,22,1
"Manchester-Nashua, NH",400721,31700,0,ND,ND,ND,0.062,ND,4.1,10,IN
"Manitowoc, WI",81442,31820,ND,ND,ND,ND,0.081,ND,IN,IN,ND
"Mankato-North Mankato, MN",96740,31860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Marietta, OH",61778,31930,ND,0,ND,ND,0.06,ND,ND,ND,24
"Marion, NC",44996,32000,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Marion, OH",66501,32020,ND,0.01,ND,ND,ND,ND,ND,ND,ND
"Marshall, MN",25857,32140,ND,ND,ND,ND,0.058,ND,6.5,20,ND
"Marshall, TX",65631,32220,ND,ND,2,IN,0.065,ND,IN,IN,20
"Mason City, IA",51749,32380,ND,ND,ND,ND,ND,48,IN,IN,ND
"Mayagüez, PR",106330,32420,ND,ND,ND,ND,0.038,ND,IN,IN,ND
"McAlester, OK",45837,32540,ND,0.01,ND,ND,0.064,ND,8.8,25,ND
"McAllen-Edinburg-Mission, TX",774769,32580,ND,ND,ND,ND,0.063,52,9.5,29,ND
"Medford, OR",203206,32780,ND,ND,ND,ND,0.066,51,IN,IN,ND
"Memphis, TN-MS-AR",1324829,32820,1,ND,9,41,0.075,104,9.1,20,3
"Merced, CA",255793,32900,ND,ND,7,32,0.072,95,10.5,31,ND
"Meridian, MS",107449,32940,ND,ND,ND,ND,0.059,ND,IN,IN,ND
"Miami, OK",31848,33060,ND,0.02,ND,ND,0.07,56,IN,IN,ND
"Miami-Fort Lauderdale-West Palm Beach, FL",5564635,33100,1,ND,13,51,0.068,104,9.4,22,2
"Michigan City-La Porte, IN",111467,33140,ND,ND,ND,ND,0.068,ND,7.9,19,ND
"Middlesborough, KY",28691,33180,ND,ND,ND,ND,0.06,ND,9.6,21,ND
"Milwaukee-Waukesha-West Allis, WI",1555908,33340,1,ND,12,41,0.074,84,9,24,4
"Minneapolis-St. Paul-Bloomington, MN-WI",3348859,33460,2,0.1,12,46,0.061,118,7.7,19,15
"Minot, ND",69540,33500,ND,ND,2,10,0.053,ND,5.8,14,7
"Missoula, MT",109299,33540,ND,ND,ND,ND,0.056,129,10.8,36,ND
"Mobile, AL",412992,33660,ND,ND,ND,ND,0.061,ND,IN,IN,11
"Modesto, CA",514453,33700,1,ND,9,38,0.077,121,13.4,36,ND
"Monroe, LA",176441,33740,ND,ND,ND,ND,0.06,ND,7.8,19,ND
"Monroe, MI",152021,33780,ND,ND,ND,ND,ND,168,IN,IN,ND
"Montgomery, AL",374536,33860,ND,ND,ND,ND,0.06,24,7.8,18,ND
"Morehead City, NC",66469,33980,ND,ND,ND,ND,0.058,ND,ND,ND,ND
"Morgantown, WV",129709,34060,ND,ND,ND,ND,0.057,ND,7,14,11
"Morristown, TN",113951,34100,ND,ND,ND,ND,0.061,ND,ND,ND,ND
"Moscow, ID",37244,34140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Moses Lake, WA",89120,34180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Mount Pleasant, TX",32334,34420,ND,ND,ND,ND,ND,ND,ND,ND,17
"Mount Vernon, IL",38827,34500,ND,ND,ND,ND,0.064,ND,8.2,19,ND
"Mount Vernon, OH",60921,34540,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Mount Vernon-Anacortes, WA",116901,34580,ND,ND,ND,ND,0.057,ND,5.6,14,IN
"Muncie, IN",117671,34620,ND,0.04,ND,ND,0.068,ND,7.5,18,ND
"Muscatine, IA",42745,34700,ND,ND,ND,ND,ND,59,7.6,17,27
"Muskegon, MI",172188,34740,ND,ND,ND,ND,0.082,ND,IN,IN,ND
"Muskogee, OK",70990,34780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",376722,34820,ND,ND,ND,ND,0.061,ND,IN,IN,ND
"Napa, CA",136484,34900,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Naples-Immokalee-Marco Island, FL",321520,34940,ND,ND,ND,ND,0.055,ND,ND,ND,ND
"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890,34980,2,ND,13,53,0.067,80,9.3,23,3
"Natchez, MS-LA",53119,35020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"New Castle, IN",49462,35220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"New Castle, PA",91108,35260,ND,0.02,ND,ND,0.063,ND,ND,ND,ND
"New Haven-Milford, CT",862477,35300,1,ND,12,44,0.076,50,7.7,19,2
"New Orleans-Metairie, LA",1189866,35380,1,0.02,9,50,0.066,98,8.6,18,63
"New York-Newark-Jersey City, NY-NJ-PA",19567410,35620,2,ND,20,63,0.074,27,8.7,21,11
"Niles-Benton Harbor, MI",156813,35660,ND,ND,ND,ND,0.074,ND,IN,IN,ND
"Nogales, AZ",47420,35700,ND,ND,ND,ND,ND,104,9.6,28,ND
"North Platte, NE",37590,35820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"North Port-Sarasota-Bradenton, FL",702281,35840,ND,ND,ND,ND,0.064,48,IN,IN,7
"Norwich-New London, CT",274055,35980,ND,ND,ND,ND,0.071,27,6.5,14,ND
"Ocala, FL",331298,36100,ND,ND,ND,ND,0.063,ND,IN,IN,ND
"Odessa, TX",137130,36220,ND,ND,ND,ND,ND,ND,7.5,20,ND
"Ogden-Clearfield, UT",597159,36260,1,ND,12,50,0.075,129,6.9,27,ND
"Ogdensburg-Massena, NY",111944,36300,ND,ND,ND,ND,ND,ND,IN,IN,77
"Oklahoma City, OK",1252987,36420,1,ND,13,44,0.073,110,9.5,22,1
"Olympia-Tumwater, WA",252264,36500,ND,ND,ND,ND,0.055,ND,IN,IN,ND
"Omaha-Council Bluffs, NE-IA",865350,36540,1,0.12,ND,ND,0.063,94,7.5,19,46
"Orangeburg, SC",92501,36700,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Orlando-Kissimmee-Sanford, FL",2134411,36740,1,ND,IN,IN,0.066,48,7.5,16,IN
"Oshkosh-Neenah, WI",166994,36780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Othello, WA",18728,36830,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Ottawa-Peru, IL",154908,36860,ND,ND,ND,ND,ND,ND,IN,IN,5
"Owensboro, KY",114752,36980,ND,ND,5,30,0.067,ND,8.6,21,8
"Oxford, NC",59916,37080,ND,ND,ND,ND,0.062,ND,ND,ND,ND
"Oxnard-Thousand Oaks-Ventura, CA",823318,37100,ND,ND,6,30,0.078,53,8.2,17,ND
"Paducah, KY-IL",98762,37140,ND,ND,5,29,0.068,ND,9.5,27,11
"Pahrump, NV",43946,37220,ND,ND,ND,ND,ND,352,ND,ND,ND
"Palatka, FL",74364,37260,ND,ND,ND,ND,ND,66,ND,ND,49
"Palm Bay-Melbourne-Titusville, FL",543376,37340,ND,ND,ND,ND,0.061,67,7.4,16,ND
"Panama City, FL",184715,37460,ND,ND,ND,ND,0.059,ND,IN,IN,ND
"Parkersburg-Vienna, WV",92673,37620,ND,ND,ND,ND,0.062,ND,7.4,15,19
"Payson, AZ",53597,37740,ND,0.03,ND,ND,0.074,277,IN,IN,60
"Pensacola-Ferry Pass-Brent, FL",448991,37860,ND,ND,ND,ND,0.067,75,9.5,20,7
"Peoria, IL",379186,37900,ND,ND,ND,ND,0.065,ND,IN,IN,11
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5965343,37980,2,0.01,14,56,0.07,50,9.5,23,7
"Phoenix-Mesa-Scottsdale, AZ",4192887,38060,2,ND,26,61,0.081,431,11.1,33,5
"Picayune, MS",55834,38100,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Pierre, SD",21361,38180,ND,ND,ND,ND,ND,ND,1.9,10,ND
"Pine Bluff, AR",100258,38220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Pittsburgh, PA",2356285,38300,3,0,9,40,0.066,55,11,34,69
"Pittsfield, MA",131219,38340,ND,ND,ND,ND,0.063,ND,5.8,15,ND
"Platteville, WI",51208,38420,ND,ND,ND,ND,ND,ND,8.2,21,ND
"Pocatello, ID",82839,38540,ND,ND,ND,ND,0.057,103,IN,IN,39
"Point Pleasant, WV-OH",58258,38580,ND,ND,ND,ND,ND,ND,ND,ND,40
"Ponca City, OK",46562,38620,ND,ND,ND,ND,ND,ND,8.6,21,10
"Ponce, PR",350480,38660,2,ND,ND,ND,ND,80,6.7,18,ND
"Port Angeles, WA",71404,38820,1,ND,ND,ND,0.05,ND,IN,IN,1
"Portland-South Portland, ME",514098,38860,IN,ND,6,IN,0.063,55,5.8,14,ND
"Portland-Vancouver-Hillsboro, OR-WA",2226009,38900,2,ND,10,31,0.067,39,7.7,29,3
"Port St. Lucie, FL",424107,38940,ND,ND,ND,ND,0.056,IN,IN,IN,ND
"Portsmouth, OH",79499,39020,ND,ND,ND,ND,ND,43,7.1,17,21
"Prescott, AZ",211033,39140,ND,ND,ND,ND,0.061,ND,IN,IN,ND
"Price, UT",21403,39220,ND,ND,3,16,0.06,ND,IN,IN,ND
"Prineville, OR",20978,39260,ND,ND,ND,ND,ND,ND,6.7,25,ND
"Providence-Warwick, RI-MA",1600852,39300,1,ND,6,39,0.075,21,6.4,17,3
"Provo-Orem, UT",526810,39340,1,ND,9,41,0.074,97,7,25,ND
"Pueblo, CO",159063,39380,ND,ND,ND,ND,ND,180,6.4,16,ND
"Pullman, WA",44776,39420,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Quincy, IL-MO",77314,39500,ND,ND,ND,ND,0.056,ND,IN,IN,ND
"Raleigh, NC",1130490,39580,1,ND,8,35,0.064,28,8.7,18,2
"Rapid City, SD",134598,39660,ND,ND,5,32,0.063,133,7,21,1
"Reading, PA",411442,39740,ND,0.02,ND,ND,0.062,ND,8.2,21,3
"Red Bluff, CA",63463,39780,ND,ND,ND,ND,0.07,40,5.8,19,ND
"Redding, CA",177223,39820,ND,ND,ND,ND,0.071,34,5.9,22,ND
"Red Wing, MN",46183,39860,ND,ND,ND,ND,0.057,ND,ND,ND,ND
"Reno, NV",425417,39900,2,ND,12,47,0.066,192,10,74,3
"Richmond, VA",1208101,40060,1,ND,14,49,0.061,27,8,16,4
"Richmond-Berea, KY",99972,40080,ND,0.03,ND,ND,ND,ND,IN,IN,ND
"Riverside-San Bernardino-Ontario, CA",4224851,40140,1,0.01,29,67,0.105,1547,12.2,32,3
"Riverton, WY",40123,40180,ND,ND,3,4,0.063,87,5.8,15,51
"Roanoke, VA",308707,40220,1,ND,5,33,0.058,ND,7.4,16,IN
"Roanoke Rapids, NC",76790,40260,ND,ND,2,15,ND,ND,6.6,16,ND
"Rochester, MN",206877,40340,ND,ND,ND,ND,0.057,ND,6.5,20,ND
"Rochester, NY",1079671,40380,1,ND,7,IN,0.067,24,6.3,17,2
"Rockford, IL",349431,40420,ND,ND,ND,ND,0.066,ND,8.3,23,ND
"Rockland, ME",7297,40500,ND,ND,ND,ND,0.056,ND,ND,ND,ND
"Rock Springs, WY",43806,40540,ND,ND,3,30,0.061,149,4.3,10,8
"Rocky Mount, NC",152392,40580,ND,ND,ND,ND,0.061,ND,IN,IN,ND
"Rome, GA",96317,40660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Roseburg, OR",107667,40700,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Roswell, NM",65645,40740,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Russellville, AR",83939,40780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Rutland, VT",61642,40860,1,ND,6,33,0.054,24,7.2,18,2
"Sacramento--Roseville--Arden-Arcade, CA",2149127,40900,2,ND,8,44,0.075,96,10.3,44,IN
"Saginaw, MI",200169,40980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"St. Cloud, MN",189093,41060,ND,ND,ND,ND,0.056,ND,IN,IN,ND
"St. George, UT",138115,41100,ND,ND,6,30,0.064,ND,5.1,13,ND
"St. Joseph, MO-KS",127329,41140,ND,ND,ND,ND,0.061,99,7.9,19,ND
"St. Louis, MO-IL",2787701,41180,1,0.04,10,45,0.076,175,10.2,24,44
"St. Marys, PA",13070,41260,ND,ND,ND,ND,0.06,ND,ND,ND,ND
"Salem, OH",107841,41400,ND,0.01,ND,ND,ND,33,ND,ND,ND
"Salem, OR",390738,41420,ND,ND,ND,ND,0.069,ND,IN,IN,ND
"Salina, KS",61697,41460,ND,0.04,ND,ND,ND,ND,ND,ND,ND
"Salinas, CA",415057,41500,1,ND,3,IN,0.054,62,5.2,13,ND
"Salisbury, MD-DE",373802,41540,ND,ND,ND,ND,0.054,ND,IN,IN,IN
"Salt Lake City, UT",1087873,41620,1,ND,18,53,0.076,152,9,32,5
"San Antonio-New Braunfels, TX",2142508,41700,1,ND,6,37,0.076,57,9.2,27,5
"San Diego-Carlsbad, CA",3095313,41740,1,0.01,15,50,0.079,196,9.3,17,1
"Sandpoint, ID",40877,41760,ND,ND,ND,ND,ND,100,IN,IN,ND
"Sanford, NC",57866,41820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"San Francisco-Oakland-Hayward, CA",4335391,41860,2,ND,13,43,0.068,38,9.9,24,15
"San Jose-Sunnyvale-Santa Clara, CA",1836911,41940,2,0.04,13,44,0.066,74,10.1,27,2
"San Juan-Carolina-Caguas, PR",2350126,41980,19,ND,IN,IN,0.037,96,6.5,20,11
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",269637,42020,ND,ND,2,17,0.069,100,9.1,23,3
"Santa Cruz-Watsonville, CA",262382,42100,ND,ND,ND,ND,0.047,ND,5.5,16,ND
"Santa Fe, NM",144170,42140,ND,ND,ND,ND,0.067,ND,2.9,15,ND
"Santa Maria-Santa Barbara, CA",423895,42200,1,ND,3,20,0.06,60,8,16,2
"Santa Rosa, CA",483878,42220,1,ND,4,25,0.05,36,6.4,17,ND
"Sault Ste. Marie, MI",38520,42300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Savannah, GA",347611,42340,ND,ND,ND,ND,0.058,ND,IN,IN,50
"Sayre, PA",62622,42380,ND,ND,IN,IN,0.059,ND,IN,IN,ND
"Scottsbluff, NE",38971,42420,ND,ND,ND,ND,ND,ND,3.2,9,ND
"Scranton--Wilkes-Barre--Hazleton, PA",563631,42540,1,ND,10,44,0.06,37,7.6,16,2
"Searcy, AR",77076,42620,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Seattle-Tacoma-Bellevue, WA",3439809,42660,1,ND,16,54,0.075,33,12.2,69,3
"Sebastian-Vero Beach, FL",138028,42680,ND,ND,ND,ND,0.057,ND,ND,ND,ND
"Sebring, FL",98786,42700,ND,ND,ND,ND,0.058,ND,ND,ND,ND
"Seneca, SC",74273,42860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sevierville, TN",89889,42940,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Shawnee, OK",69442,43060,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sheboygan, WI",115507,43100,ND,ND,ND,ND,0.077,ND,ND,ND,ND
"Shelton, WA",60699,43220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sheridan, WY",29116,43260,ND,ND,ND,ND,0.029,55,IN,IN,ND
"Show Low, AZ",107449,43320,ND,ND,ND,ND,0.065,32,ND,ND,ND
"Shreveport-Bossier City, LA",439811,43340,ND,ND,ND,ND,0.065,77,9.7,20,4
"Sierra Vista-Douglas, AZ",131346,43420,ND,ND,ND,ND,0.065,124,IN,IN,ND
"Silver City, NM",29514,43500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Sioux City, IA-NE-SD",168563,43580,ND,ND,ND,ND,ND,ND,7,13,ND
"Sioux Falls, SD",228261,43620,1,ND,4,27,0.065,115,4.7,13,2
"Somerset, KY",63063,43700,ND,ND,ND,ND,0.058,ND,7.8,17,ND
"Somerset, PA",77742,43740,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Sonora, CA",55365,43760,ND,ND,ND,ND,0.061,ND,ND,ND,ND
"South Bend-Mishawaka, IN-MI",319224,43780,ND,ND,5,33,0.071,ND,9.6,24,ND
"Spartanburg, SC",313268,43900,ND,ND,ND,ND,0.063,ND,IN,IN,ND
"Spokane-Spokane Valley, WA",527753,44060,ND,ND,ND,ND,0.061,97,8.9,31,ND
"Springfield, IL",210170,44100,ND,ND,ND,ND,0.064,ND,8.7,19,ND
"Springfield, MA",621570,44140,ND,ND,10,40,0.067,14,6.5,16,1
"Springfield, MO",436712,44180,ND,ND,ND,ND,0.066,73,7.7,18,ND
"Springfield, OH",138333,44220,ND,ND,ND,ND,0.068,ND,IN,IN,ND
"State College, PA",153990,44300,ND,ND,4,29,0.06,ND,7.9,17,3
"Steamboat Springs, CO",23509,44460,ND,ND,ND,ND,ND,45,IN,IN,ND
"Stillwater, OK",77350,44660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Stockton-Lodi, CA",685306,44700,2,ND,8,39,0.062,93,10.2,35,ND
"Summerville, GA",26015,44900,ND,ND,ND,ND,0.061,ND,ND,ND,ND
"Syracuse, NY",662577,45060,ND,ND,ND,ND,0.056,ND,5.8,12,ND
"Tahlequah, OK",46987,45140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Talladega-Sylacauga, AL",93830,45180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Tallahassee, FL",367413,45220,0,ND,ND,ND,0.059,ND,7.2,15,3
"Tampa-St. Petersburg-Clearwater, FL",2783243,45300,1,0.12,9,34,0.067,53,8,16,71
"Taos, NM",32937,45340,ND,ND,ND,ND,ND,ND,4.6,18,ND
"Terre Haute, IN",172425,45460,ND,ND,ND,ND,0.068,ND,8.4,24,3
"Texarkana, TX-AR",149198,45500,ND,ND,ND,ND,ND,ND,10.3,24,ND
"The Dalles, OR",25213,45520,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Toledo, OH",610001,45780,ND,0.03,ND,ND,0.07,ND,8.7,24,17
"Topeka, KS",233870,45820,ND,ND,ND,ND,0.059,95,IN,IN,ND
"Torrington, CT",189927,45860,0,ND,ND,ND,0.07,20,4.5,11,3
"Traverse City, MI",143372,45900,ND,ND,ND,ND,0.069,ND,IN,IN,ND
"Trenton, NJ",366513,45940,ND,ND,ND,ND,0.068,ND,7.8,16,ND
"Troy, AL",32899,45980,ND,0.22,ND,ND,ND,ND,ND,ND,ND
"Truckee-Grass Valley, CA",98764,46020,ND,ND,ND,ND,0.075,ND,IN,IN,ND
"Tucson, AZ",980263,46060,1,ND,7,37,0.071,198,6.3,13,2
"Tulsa, OK",937478,46140,1,ND,7,39,0.075,106,9,21,6
"Tupelo, MS",136268,46180,ND,ND,ND,ND,0.067,ND,IN,IN,ND
"Tuscaloosa, AL",230162,46220,ND,ND,ND,ND,0.06,ND,7.6,17,ND
"Twin Falls, ID",99604,46300,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Tyler, TX",209714,46340,ND,ND,2,14,0.071,ND,ND,ND,ND
"Ukiah, CA",87841,46380,ND,ND,ND,ND,0.05,50,IN,IN,ND
"Urban Honolulu, HI",953207,46520,1,ND,IN,IN,0.044,45,3.7,8,63
"Utica-Rome, NY",299397,46540,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Valdosta, GA",139588,46660,ND,ND,ND,ND,ND,ND,9.3,21,ND
"Vallejo-Fairfield, CA",413344,46700,2,ND,7,39,0.063,30,7.7,23,5
"Vermillion, SD",13864,46820,ND,ND,ND,ND,0.062,ND,6,14,ND
"Vernal, UT",32588,46860,ND,ND,4,30,0.064,ND,5.1,15,ND
"Vicksburg, MS",58377,46980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Victoria, TX",94003,47020,ND,ND,ND,ND,0.06,ND,ND,ND,ND
"Vincennes, IN",38440,47180,ND,ND,ND,ND,0.065,ND,IN,IN,ND
"Vineland-Bridgeton, NJ",156898,47220,ND,ND,6,32,0.061,ND,5.8,13,ND
"Vineyard Haven, MA",16535,47240,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Virginia Beach-Norfolk-Newport News, VA-NC",1676822,47260,1,ND,7,41,0.06,26,6.8,14,3
"Visalia-Porterville, CA",442179,47300,ND,ND,8,IN,0.086,124,14.9,41,ND
"Wabash, IN",32888,47340,ND,ND,ND,ND,0.068,ND,ND,ND,ND
"Waco, TX",252772,47380,1,ND,ND,ND,0.062,ND,IN,IN,7
"Walla Walla, WA",62859,47460,ND,ND,ND,ND,0.056,99,IN,IN,ND
"Walterboro, SC",5401,47500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Warner Robins, GA",179605,47580,ND,ND,ND,ND,ND,ND,8.7,20,ND
"Warren, PA",41815,47620,ND,ND,ND,ND,ND,ND,ND,ND,50
"Washington, NC",47759,47820,ND,ND,ND,ND,ND,ND,ND,ND,10
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5636232,47900,2,ND,15,46,0.066,36,8.3,17,3
"Washington Court House, OH",29030,47920,ND,ND,ND,ND,0.051,ND,ND,ND,ND
"Waterloo-Cedar Falls, IA",167819,47940,ND,ND,ND,ND,0.056,ND,7.3,19,ND
"Watertown, SD",27227,47980,ND,ND,ND,ND,0.066,114,6.9,16,ND
"Watertown-Fort Atkinson, WI",83686,48020,ND,ND,ND,ND,0.063,ND,IN,IN,ND
"Watertown-Fort Drum, NY",116229,48060,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Wausau, WI",134063,48140,ND,ND,ND,ND,0.057,ND,ND,ND,ND
"Weatherford, OK",27469,48220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Weirton-Steubenville, WV-OH",124454,48260,ND,ND,ND,ND,0.062,54,9.8,22,36
"Wenatchee, WA",110884,48300,ND,ND,ND,ND,ND,ND,IN,IN,1
"West Plains, MO",40400,48460,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Wheeling, WV-OH",147950,48540,ND,ND,6,31,0.056,49,10.1,31,8
"Whitewater-Elkhorn, WI",102228,48580,ND,ND,ND,ND,0.07,ND,ND,ND,ND
"Wichita, KS",630919,48620,ND,ND,6,29,0.072,128,9.1,23,3
"Williamsport, PA",116111,48700,ND,ND,ND,ND,0.055,ND,IN,IN,ND
"Williston, ND",22398,48780,ND,ND,ND,ND,ND,ND,IN,IN,7
"Willmar, MN",42239,48820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Wilmington, NC",254884,48900,ND,ND,ND,ND,0.058,40,5,12,ND
"Wilmington, OH",42040,48940,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Winchester, VA-WV",128472,49020,ND,ND,ND,ND,0.055,42,7.7,19,ND
"Winona, MN",51461,49100,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Winston-Salem, NC",640595,49180,ND,ND,6,35,0.062,28,8.9,19,4
"Wisconsin Rapids-Marshfield, WI",74749,49220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Worcester, MA-CT",916980,49340,1,ND,10,48,0.064,45,8.6,18,2
"Yakima, WA",243231,49420,ND,ND,ND,ND,ND,80,9.6,29,ND
"York-Hanover, PA",434972,49620,ND,ND,9,39,0.064,ND,8.8,21,7
"Youngstown-Warren-Boardman, OH-PA",565773,49660,ND,ND,ND,ND,0.069,51,8.4,18,6
"Yuba City, CA",166892,49700,ND,ND,7,37,0.069,71,10.7,28,ND
"Yuma, AZ",195751,49740,ND,ND,ND,ND,0.068,234,8.3,23,ND
,,,,,,,,,,,
CO -  Second maximum non-overlapping 8-hour concentration (applicable NAAQS is 9 ppm),,,,,,,,,,,
Pb  -  Maximum rolling 3 month average (applicable NAAQS is 0.15 µg/m3),,,,,,,,,,,
NO2  (AM) -  Arithmetic mean concentration (applicable NAAQS is 53 ppb),,,,,,,,,,,
NO2  (1-hr)  -  98th percentile daily maximum 1-hour concentration (applicable NAAQS is 100 ppb),,,,,,,,,,,
O3  -  Fourth daily maximum 8-hour concentration (applicable NAAQS is 0.070 ppm),,,,,,,,,,,
PM10  -  Second maximum 24-hour concentration (applicable NAAQS is 150 µg/m3),,,,,,,,,,,
PM2.5  (Wtd AM)  -  Weighted annual mean concentration (applicable NAAQS is 12 µg/m3),,,,,,,,,,,
PM2.5  (24-hr)  -  98th percentile 24-hour concentration (applicable NAAQS is 35 µg/m3),,,,,,,,,,,
SO2  -  99th percentile daily maximum 1-hour concentration (applicable NAAQS is 75 ppb),,,,,,,,,,,
ND  -  No Data,,,,,,,,,,,
IN  -  Insufficient data to calculate summary statistic,,,,,,,,,,,
µg/m3  -  micrograms per cubic meter,,,,,,,,,,,
ppm  -  parts per million,,,,,,,,,,,
ppb  -  parts per billion,,,,,,,,,,,
