Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Boulder, CO",294567,14500,ND,ND,ND,ND,0.072,42,6.6,24,ND
"Bowling Green, KY",158599,14540,0,ND,ND,ND,0.063,ND,7.4,16,2
"Bozeman, MT",89513,14580,1,ND,2,IN,ND,ND,3.6,15,ND
"Brainerd, MN",91067,14660,ND,ND,ND,ND,0.055,ND,5.9,16,ND
"Bremerton-Silverdale, WA",251133,14740,ND,ND,ND,ND,ND,ND,6.4,20,ND
"Bridgeport-Stamford-Norwalk, CT",916829,14860,ND,ND,8,39,0.081,37,7.6,20,3
"Brookings, SD",31965,15100,ND,ND,ND,ND,0.062,124,3.7,13,ND
"Brownsville-Harlingen, TX",406220,15180,ND,ND,ND,ND,0.057,ND,10.2,31,ND
"Brunswick, GA",112370,15260,ND,ND,ND,ND,0.056,ND,8.8,21,IN
"Buffalo-Cheektowaga-Niagara Falls, NY",1135509,15380,1,ND,10,51,0.068,60,6.6,17,11
"Burlington, NC",151131,15500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Burlington-South Burlington, VT",211261,15540,0,ND,ND,ND,0.057,14,6.8,14,IN
"Butte-Silver Bow, MT",34200,15580,ND,ND,ND,ND,ND,105,7.8,40,ND
"Cadillac, MI",47584,15620,ND,ND,1,8,0.073,ND,8.9,17,ND
"Cambridge, MD",32618,15700,ND,ND,ND,ND,0.062,ND,6.9,13,1
"Cambridge, OH",40087,15740,ND,ND,ND,ND,ND,ND,ND,ND,33
"Cañon City, CO",46824,15860,ND,ND,ND,ND,ND,106,ND,ND,ND
"Canton-Massillon, OH",404422,15940,ND,0.12,ND,ND,0.066,ND,8.7,23,ND
"Cape Coral-Fort Myers, FL",618754,15980,ND,ND,ND,ND,0.058,69,IN,IN,ND
"Carlsbad-Artesia, NM",53829,16100,ND,ND,5,32,0.083,ND,ND,ND,ND
"Carson City, NV",55274,16180,ND,ND,ND,ND,0.062,ND,5.7,41,ND
"Casper, WY",75450,16220,ND,ND,4,33,0.06,ND,3.3,9,8
"Cedar City, UT",46163,16260,ND,ND,6,38,0.061,ND,5.7,12,ND
"Cedar Rapids, IA",257940,16300,ND,ND,ND,ND,0.059,59,7.3,19,47
"Centralia, WA",75455,16500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Chambersburg-Waynesboro, PA",149618,16540,ND,ND,ND,ND,0.059,ND,ND,ND,ND
"Champaign-Urbana, IL",231891,16580,0,ND,ND,ND,0.068,ND,7.8,18,5
"Charleston, WV",227078,16620,1,ND,ND,ND,0.061,ND,7.3,15,5
"Charleston-North Charleston, SC",664607,16700,ND,ND,6,34,0.062,53,7.5,15,16
"Charlotte-Concord-Gastonia, NC-SC",2217012,16740,1,ND,10,37,0.068,35,8.4,18,2
"Charlottesville, VA",218705,16820,ND,ND,ND,ND,0.056,ND,7.7,15,ND
"Chattanooga, TN-GA",528143,16860,ND,ND,ND,ND,0.069,ND,10.4,22,ND
"Cheyenne, WY",91738,16940,0,ND,3,27,0.062,76,5.3,12,4
"Chicago-Naperville-Elgin, IL-IN-WI",9461105,16980,1,0.16,17,55,0.074,134,10,30,45
"Chico, CA",220000,17020,1,ND,5,26,0.067,61,7.7,27,ND
"Cincinnati, OH-KY-IN",2114580,17140,1,ND,18,55,0.07,119,10.4,22,24
"Claremont-Lebanon, NH-VT",218466,17200,ND,ND,ND,ND,0.054,ND,5.5,12,ND
"Clarksburg, WV",94196,17220,ND,ND,ND,ND,ND,ND,6.7,13,ND
"Clarksville, TN-KY",260625,17300,ND,ND,ND,ND,0.061,ND,9.3,21,ND
"Clearlake, CA",64665,17340,ND,ND,ND,ND,0.053,22,4.3,10,ND
"Cleveland, MS",34145,17380,ND,ND,ND,ND,0.063,ND,8.6,22,ND
"Cleveland-Elyria, OH",2077240,17460,3,0.02,10,49,0.076,77,11,27,28
"Clinton, IA",49116,17540,ND,ND,ND,ND,0.063,ND,8.1,22,75
"Coeur d'Alene, ID",138494,17660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"College Station-Bryan, TX",228660,17780,ND,ND,ND,ND,ND,ND,7.8,22,12
"Colorado Springs, CO",645613,17820,1,ND,ND,ND,0.069,42,4.5,12,5
"Columbia, MO",162642,17860,ND,ND,ND,ND,0.057,ND,IN,IN,ND
"Columbia, SC",767598,17900,1,ND,3,30,0.064,32,7.1,12,IN
"Columbus, GA-AL",294865,17980,ND,ND,ND,ND,0.061,ND,9.1,24,ND
"Columbus, IN",76794,18020,ND,ND,ND,ND,0.066,ND,6.6,15,ND
"Columbus, MS",59779,18060,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Columbus, OH",1901974,18140,1,IN,10,42,0.069,54,8.7,21,3
"Concord, NH",146445,18180,ND,ND,ND,ND,0.057,ND,IN,IN,33
"Cookeville, TN",106042,18260,ND,ND,ND,ND,ND,ND,6.3,16,ND
"Corning, NY",98990,18500,0,ND,ND,ND,0.055,ND,5.5,12,2
"Corpus Christi, TX",428185,18580,ND,ND,ND,ND,0.062,39,8.3,22,4
"Corsicana, TX",47735,18620,ND,ND,3,IN,0.066,ND,IN,IN,119
"Corvallis, OR",85579,18700,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Crawfordsville, IN",38124,18820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Crescent City, CA",28610,18860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Crestview-Fort Walton Beach-Destin, FL",235865,18880,ND,ND,ND,ND,0.061,76,ND,ND,ND
"Cullowhee, NC",40271,19000,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Dallas-Fort Worth-Arlington, TX",6426214,19100,1,0.01,14,52,0.082,82,9.8,27,16
"Dalton, GA",142227,19140,ND,ND,ND,ND,0.066,ND,ND,ND,ND
"Danville, VA",106561,19260,ND,ND,2,IN,ND,ND,ND,ND,ND
"Daphne-Fairhope-Foley, AL",182265,19300,ND,ND,ND,ND,0.063,ND,7.3,15,ND
"Davenport-Moline-Rock Island, IA-IL",379690,19340,1,ND,ND,ND,0.061,126,8.8,22,3
"Dayton, OH",799232,19380,0,ND,ND,ND,0.069,66,8.7,20,7
"Decatur, AL",153829,19460,ND,ND,ND,ND,0.065,ND,8.5,21,ND
"Decatur, IL",110768,19500,ND,ND,ND,ND,0.065,ND,8.7,20,55
"Deltona-Daytona Beach-Ormond Beach, FL",590289,19660,ND,ND,ND,ND,0.06,54,8.4,17,ND
"Deming, NM",25095,19700,ND,ND,ND,ND,ND,336,ND,ND,ND
"Denver-Aurora-Lakewood, CO",2543482,19740,2,ND,24,63,0.078,89,7.4,18,5
"Des Moines-West Des Moines, IA",569633,19780,ND,ND,6,35,0.057,62,7,17,ND
"Detroit-Warren-Dearborn, MI",4296250,19820,2,0.04,14,51,0.071,77,12,33,108
"Dickinson, ND",24199,19860,ND,ND,ND,ND,0.053,ND,5.5,13,5
"Dodge City, KS",33848,19980,ND,ND,ND,ND,ND,164,ND,ND,ND
"Dothan, AL",145639,20020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Douglas, GA",42356,20060,ND,ND,ND,ND,ND,ND,7,18,ND
"Dover, DE",162310,20100,ND,ND,ND,ND,0.052,ND,IN,IN,ND
"DuBois, PA",81642,20180,ND,ND,ND,ND,0.055,ND,ND,ND,ND
"Duluth, MN-WI",279771,20260,ND,0.03,5,IN,0.052,64,3,13,16
"Durango, CO",51334,20420,0,ND,4,18,0.067,ND,IN,IN,ND
"Durham-Chapel Hill, NC",504357,20500,ND,ND,ND,ND,0.062,28,6.7,13,3
"Dyersburg, TN",38335,20540,ND,ND,ND,ND,ND,ND,7.5,19,ND
"Eagle Pass, TX",54258,20580,ND,ND,ND,ND,ND,ND,7.6,23,ND
"East Stroudsburg, PA",169842,20700,ND,ND,ND,ND,0.06,ND,IN,IN,ND
"Eau Claire, WI",161151,20740,ND,ND,ND,ND,0.058,61,7.2,19,ND
"Effingham, IL",34242,20820,ND,ND,ND,ND,0.067,ND,ND,ND,ND
"El Centro, CA",174528,20940,3,ND,10,49,0.075,765,11,32,6
"El Dorado, AR",41639,20980,ND,ND,ND,ND,ND,ND,9.1,27,ND
"Elizabeth City, NC",64094,21020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Elizabethtown-Fort Knox, KY",148338,21060,ND,ND,ND,ND,0.063,ND,8,17,ND
"Elkhart-Goshen, IN",197559,21140,ND,ND,ND,ND,0.06,ND,8.5,30,ND
"Elko, NV",50805,21220,ND,ND,ND,ND,ND,176,ND,ND,ND
"Ellensburg, WA",40915,21260,ND,ND,ND,ND,ND,ND,7.1,25,ND
"El Paso, TX",804123,21340,2,ND,13,53,0.079,88,9.2,20,5
